s1,hcs_load_capacity,hcs_type,hcs_thickness,Topping, hcs_weight_kgm2
8.0,20,GF-400A4,400,75,447
9.0,15,GF-400A4,400,75,447
10.0,10,GF-400A4,400,75,447
12.1,2.6,GF-400A4,400,75,447
14.0,2,GF-400A4,400,75,447
8.5,20,GF-360A4,360,75,422
8.8,15,GF-360A4,360,75,422
9.7,10,GF-360A4,360,75,422
11.1,5,GF-360A4,360,75,422
12.4,2,GF-360A4,360,75,422
7.5,20,GF-320A4,320,75,393
8.3,15,GF-320A4,320,75,393
9.2,10,GF-320A4,320,75,393
10.4,5,GF-320A4,320,75,393
11.7,2,GF-320A4,320,75,393
7.0,20,GF-265A4,265,75,354
7.5,15,GF-265A4,265,75,354
8.3,10,GF-265A4,265,75,354
9.3,5,GF-265A4,265,75,354
10.5,2,GF-265A4,265,75,354
